step,greedy_reward,epsilon_greedy_reward
0,0.141053,0.141053
5,6.54227,6.78729
10,16.4761,17.0156
15,25.2872,26.6887
20,35.2543,34.5088
25,43.759,43.0492
30,53.455,52.087
35,61.8675,61.6294
40,71.56,70.2598
45,82.0891,82.2851
50,92.2843,92.2847
55,101.388,101.539
60,111.222,109.955
65,121.066,120.813
70,130.834,131.252
75,140.388,140.304
80,149.431,148.821
85,157.459,157.227
90,165.496,165.156
95,173.835,173.847
100,181.343,181.647
105,189.49,188.684
110,195.892,195.758
115,202.914,203.648
120,211.025,211.476
125,219.045,219.242
130,226.867,227.717
135,236.211,236.17
140,244.509,244.272
145,253.557,251.91
150,263.275,260.053
155,271.414,267.825
160,280.055,275.806
165,288.542,284.472
170,297.666,293.466
175,306.262,303.1
180,315.126,311.929
185,323.248,320.044
190,331.405,328.366
195,339.66,336.579
200,347.311,345.204
205,355.776,354.882
210,363.614,363.272
215,371.458,372.535
220,380.06,381.234
225,387.823,391.085
230,396.75,400.006
235,404.694,409.239
240,413.38,416.883
245,421.105,425.524
250,428.562,434.62
255,436.583,443.749
260,444.843,452.875
265,452.281,462.181
270,460.061,469.657
275,468.138,477.861
280,475.723,485.82
285,482.643,495.007
290,490.309,503.629
295,498.069,512.026
300,505.296,520.929
305,512.965,530.665
310,520.339,539.507
315,527.603,548.375
320,534.944,556.94
325,542.245,565.381
330,549.244,574.081
335,555.033,583.319
340,561.836,592.277
345,569.186,600.326
350,575.855,608.003
355,582.396,615.505
360,588.138,623.388
365,594.586,631.884
370,600.823,640.455
375,607,649.674
380,614.192,658.331
385,620.851,665.85
390,628.005,674.263
395,634.371,682.418
400,641.208,690.214
405,648.428,697.88
410,654.747,706.747
415,662.464,716.241
420,669.97,724.532
425,676.173,732.747
430,683.384,741.138
435,690.44,749.625
440,697.666,757.871
445,704.713,765.869
450,711.296,774.418
455,718.438,781.428
460,726.147,789.059
465,733.196,796.659
470,739.771,804.564
475,746.525,811.958
480,754.009,819.72
485,761.429,828.461
490,768.857,837.035
495,776.347,845.036
500,783.081,852.718
505,789.821,861.395
510,796.517,869.154
515,803.461,877.055
520,810.445,885.343
525,817.317,894.314
530,823.494,903.078
535,830.596,911.777
540,838.063,920.732
545,844.966,929.053
550,852.285,937.206
555,859.543,947.012
560,867.015,955.692
565,874.655,963.7
570,881.825,970.901
575,888.701,978.514
580,896.819,987.278
585,903.425,995.405
590,910.742,1003.33
595,918.17,1010.31
600,925.692,1017.26
605,933.106,1024.55
610,939.888,1032.22
615,947.015,1039.45
620,955.079,1047.78
625,962.549,1054.91
630,970.262,1062.08
635,977.464,1069.19
640,983.835,1078.19
645,991.111,1087.56
650,997.679,1096.24
655,1004.61,1105.26
660,1011.41,1112.33
665,1018.37,1120.65
670,1025.38,1129.35
675,1031.91,1137.99
680,1038.68,1147.47
685,1045.42,1155.44
690,1053.13,1165.85
695,1060.43,1174.66
700,1066.55,1183.05
705,1074,1191.06
710,1081.42,1199.3
715,1089.5,1207.97
720,1096.85,1215.56
725,1103.81,1223.84
730,1111.38,1231.47
735,1118.76,1240.26
740,1125.28,1249.34
745,1133.28,1258.04
750,1140.59,1266.56
755,1147.31,1275.37
760,1154.67,1283.52
765,1162.04,1292.17
770,1168.92,1300.54
775,1175.91,1308.77
780,1182.56,1316.48
785,1188.84,1323.63
790,1195.82,1331.25
795,1202.98,1339.16
800,1208.78,1348.04
805,1215.56,1355.88
810,1222.34,1364.31
815,1229.1,1372.84
820,1235.88,1381.69
825,1241.95,1390.8
830,1247.88,1397.88
835,1253.89,1404.62
840,1259.28,1411.25
845,1265.54,1418.12
850,1271.89,1425.87
855,1277.49,1433.49
860,1283.78,1440.61
865,1289.98,1447.95
870,1296.53,1455.71
875,1303.13,1464.35
880,1309.38,1472.22
885,1315.09,1481.9
890,1321.81,1490.49
895,1327.89,1498.21
900,1333.74,1506.82
905,1339.91,1515.75
910,1345.65,1523.82
915,1351.63,1532.7
920,1357.63,1540.79
925,1363.75,1548.97
930,1369.85,1558.85
935,1375.94,1568.48
940,1382.3,1576.99
945,1388.98,1586.31
950,1395.51,1596.37
955,1401.91,1605.26
960,1408.05,1613.44
965,1414.51,1621.83
970,1421.45,1629.88
975,1428.67,1637.86
980,1434.52,1645.67
985,1440.56,1654.49
990,1447.13,1663.78
995,1453.14,1672.72
