tempo,frequencia,potencia,temperatura,carga
0,3.6,470.946,26.5698,100
0.05,3.6,470.946,28.0873,100
0.1,3.6,470.946,29.5542,100
0.15,3.6,470.946,30.9722,100
0.2,3.6,470.946,32.343,100
0.25,3.6,470.946,33.668,100
0.3,3.6,470.946,34.9489,100
0.35,3.6,470.946,36.1871,100
0.4,3.6,470.946,37.384,100
0.45,3.6,470.946,38.541,100
0.5,3.6,470.946,39.6595,100
0.55,3.6,470.946,40.7407,100
0.6,3.6,470.946,41.7858,100
0.65,3.6,470.946,42.7961,100
0.7,3.6,470.946,43.7727,100
0.75,3.6,470.946,44.7168,100
0.8,3.6,470.946,45.6294,100
0.85,3.6,470.946,46.5115,100
0.9,3.6,470.946,47.3643,100
0.95,3.6,470.946,48.1886,100
1,3.6,470.946,48.9855,100
1.05,3.6,470.946,49.7558,100
1.1,3.6,470.946,50.5004,100
1.15,3.6,470.946,51.2202,100
1.2,3.6,470.946,51.9161,100
1.25,3.6,470.946,52.5887,100
1.3,3.6,470.946,53.2389,100
1.35,3.6,470.946,53.8674,100
1.4,3.6,470.946,54.475,100
1.45,3.6,470.946,55.0623,100
1.5,3.6,470.946,55.63,100
1.55,3.6,470.946,56.1788,100
1.6,3.6,470.946,56.7094,100
1.65,3.6,470.946,57.2222,100
1.7,3.6,470.946,57.718,100
1.75,3.6,470.946,58.1972,100
1.8,3.6,470.946,58.6604,100
1.85,3.6,470.946,59.1082,100
1.9,3.6,470.946,59.5411,100
1.95,3.6,470.946,59.9596,100
2,3.6,470.946,60.3641,100
2.05,3.6,470.946,60.7551,100
2.1,3.6,470.946,61.1331,100
2.15,3.6,470.946,61.4984,100
2.2,3.6,470.946,61.8516,100
2.25,3.6,470.946,62.1931,100
2.3,3.6,470.946,62.5231,100
2.35,3.6,470.946,62.8422,100
2.4,3.6,470.946,63.1506,100
2.45,3.6,470.946,63.4487,100
2.5,3.6,470.946,63.7369,100
2.55,3.6,470.946,64.0155,100
2.6,3.6,470.946,64.2848,100
2.65,3.6,470.946,64.5451,100
2.7,3.6,470.946,64.7968,100
2.75,3.6,470.946,65.04,100
2.8,3.6,470.946,65.2752,100
2.85,3.6,470.946,65.5025,100
2.9,3.6,470.946,65.7222,100
2.95,3.6,470.946,65.9347,100
3,3.6,470.946,66.14,100
3.05,3.6,470.946,66.3385,100
3.1,3.6,470.946,66.5303,100
3.15,3.6,470.946,66.7158,100
3.2,3.6,470.946,66.8951,100
3.25,3.6,470.946,67.0684,100
3.3,3.6,470.946,67.236,100
3.35,3.6,470.946,67.3979,100
3.4,3.6,470.946,67.5545,100
3.45,3.6,470.946,67.7058,100
3.5,3.6,470.946,67.8521,100
3.55,3.6,470.946,67.9935,100
3.6,3.6,470.946,68.1302,100
3.65,3.6,470.946,68.2624,100
3.7,3.6,470.946,68.3901,100
3.75,3.6,470.946,68.5136,100
3.8,3.6,470.946,68.633,100
3.85,3.6,470.946,68.7483,100
3.9,3.6,470.946,68.8599,100
3.95,3.6,470.946,68.9677,100
4,3.6,470.946,69.0719,100
4.05,3.6,470.946,69.1727,100
4.1,3.6,470.946,69.2701,100
4.15,3.6,470.946,69.3642,100
4.2,3.6,470.946,69.4553,100
4.25,3.6,470.946,69.5432,100
4.3,3.6,470.946,69.6283,100
4.35,3.6,470.946,69.7105,100
4.4,3.6,470.946,69.79,100
4.45,3.6,470.946,69.8668,100
4.5,3.6,470.946,69.941,100
4.55,3.6,470.946,70.0128,100
4.6,3.6,470.946,70.0822,100
4.65,3.6,470.946,70.1493,100
4.7,3.6,470.946,70.2141,100
4.75,3.6,470.946,70.2768,100
4.8,3.6,470.946,70.3374,100
4.85,3.6,470.946,70.396,100
4.9,3.6,470.946,70.4526,100
4.95,3.6,470.946,70.5073,100
5,3.6,470.946,70.5602,100
5.05,3.6,470.946,70.6114,100
5.1,3.6,470.946,70.6608,100
5.15,3.6,470.946,70.7086,100
5.2,3.6,470.946,70.7548,100
5.25,3.6,470.946,70.7995,100
5.3,3.6,470.946,70.8426,100
5.35,3.6,470.946,70.8844,100
5.4,3.6,470.946,70.9247,100
5.45,3.6,470.946,70.9637,100
5.5,3.6,470.946,71.0014,100
5.55,3.6,470.946,71.0378,100
5.6,3.6,470.946,71.0731,100
5.65,3.6,470.946,71.1071,100
5.7,3.6,470.946,71.14,100
5.75,3.6,470.946,71.1719,100
5.8,3.6,470.946,71.2026,100
5.85,3.6,470.946,71.2323,100
5.9,3.6,470.946,71.2611,100
5.95,3.6,470.946,71.2889,100
6,3.6,470.946,71.3157,100
6.05,3.6,470.946,71.3417,100
6.1,3.6,470.946,71.3668,100
6.15,3.6,470.946,71.391,100
