tempo,frequencia,potencia,temperatura,tm_calculado
0,3.6,470.946,28.7676,1.87225
0.1,3.6,470.946,32.4682,1.87225
0.2,3.6,470.946,36.103,1.87225
0.3,3.6,470.946,39.6731,1.87225
0.4,3.6,470.946,43.1798,1.87225
0.5,3.6,470.946,46.6242,1.87225
0.6,3.6,470.946,50.0074,1.87225
0.7,3.6,470.946,53.3303,1.87225
0.8,3.6,470.946,56.5943,1.87225
0.9,3.6,470.946,59.8002,1.87225
1,3.6,470.946,62.949,1.87225
1.1,3.6,470.946,66.042,1.87225
1.2,3.6,470.946,69.0799,1.87225
1.3,3.6,470.946,72.0638,1.87225
1.4,3.6,470.946,74.9947,1.87225
1.5,3.6,470.946,77.8735,1.87225
1.6,3.6,470.946,80.7011,1.87225
1.7,3.6,470.946,83.4784,1.87225
1.8,3.6,470.946,86.2063,1.87225
1.9,1.2,225.232,86.9201,0
2,1.2,225.232,87.6211,0
2.1,1.2,225.232,88.3097,0
2.2,1.2,225.232,88.9861,0
2.3,1.2,225.232,89.6504,0
2.4,1.2,225.232,90.3029,0
2.5,1.2,225.232,90.9438,0
2.6,1.2,225.232,91.5734,0
2.7,1.2,225.232,92.1917,0
2.8,1.2,225.232,92.799,0
2.9,1.2,225.232,93.3956,0
3,1.2,225.232,93.9815,0
3.1,1.2,225.232,94.557,0
3.2,1.2,225.232,95.1223,0
3.3,1.2,225.232,95.6775,0
3.4,1.2,225.232,96.2229,0
3.5,1.2,225.232,96.7586,0
3.6,1.2,225.232,97.2847,0
3.7,1.2,225.232,97.8015,0
3.8,1.2,225.232,98.3091,0
3.9,1.2,225.232,98.8077,0
4,1.2,225.232,99.2974,0
4.1,1.2,225.232,99.7784,0
4.2,1.2,225.232,100.251,0
4.3,1.2,225.232,100.715,0
4.4,1.2,225.232,101.171,0
4.5,1.2,225.232,101.618,0
4.6,1.2,225.232,102.058,0
4.7,1.2,225.232,102.49,0
4.8,1.2,225.232,102.914,0
4.9,1.2,225.232,103.331,0
5,1.2,225.232,103.74,0
5.1,1.2,225.232,104.142,0
5.2,1.2,225.232,104.537,0
5.3,1.2,225.232,104.925,0
5.4,1.2,225.232,105.306,0
5.5,1.2,225.232,105.68,0
5.6,1.2,225.232,106.048,0
5.7,1.2,225.232,106.409,0
5.8,1.2,225.232,106.763,0
5.9,1.2,225.232,107.112,0
6,1.2,225.232,107.454,0
6.1,1.2,225.232,107.79,0
6.2,1.2,225.232,108.12,0
6.3,1.2,225.232,108.444,0
6.4,1.2,225.232,108.762,0
6.5,1.2,225.232,109.075,0
6.6,1.2,225.232,109.382,0
6.7,1.2,225.232,109.684,0
6.8,1.2,225.232,109.98,0
6.9,1.2,225.232,110.272,0
7,1.2,225.232,110.557,0
7.1,1.2,225.232,110.838,0
7.2,1.2,225.232,111.114,0
7.3,1.2,225.232,111.385,0
7.4,1.2,225.232,111.651,0
7.5,1.2,225.232,111.913,0
7.6,1.2,225.232,112.169,0
7.7,1.2,225.232,112.422,0
7.8,1.2,225.232,112.669,0
7.9,1.2,225.232,112.913,0
8,1.2,225.232,113.151,0
8.1,1.2,225.232,113.386,0
8.2,1.2,225.232,113.617,0
8.3,1.2,225.232,113.843,0
8.4,1.2,225.232,114.066,0
8.5,1.2,225.232,114.284,0
8.6,1.2,225.232,114.499,0
8.7,1.2,225.232,114.709,0
8.8,1.2,225.232,114.916,0
8.9,1.2,225.232,115.12,0
9,1.2,225.232,115.32,0
9.1,1.2,225.232,115.516,0
9.2,1.2,225.232,115.708,0
9.3,1.2,225.232,115.898,0
9.4,1.2,225.232,116.084,0
9.5,1.2,225.232,116.266,0
9.6,1.2,225.232,116.445,0
9.7,1.2,225.232,116.622,0
9.8,1.2,225.232,116.795,0
9.9,1.2,225.232,116.965,0
10,1.2,225.232,117.132,0
10.1,1.2,225.232,117.295,0
10.2,1.2,225.232,117.457,0
10.3,1.2,225.232,117.615,0
10.4,1.2,225.232,117.77,0
10.5,1.2,225.232,117.923,0
10.6,1.2,225.232,118.073,0
10.7,1.2,225.232,118.22,0
10.8,1.2,225.232,118.364,0
10.9,1.2,225.232,118.506,0
11,1.2,225.232,118.646,0
11.1,1.2,225.232,118.783,0
11.2,1.2,225.232,118.918,0
11.3,1.2,225.232,119.05,0
11.4,1.2,225.232,119.18,0
11.5,1.2,225.232,119.307,0
11.6,1.2,225.232,119.433,0
11.7,1.2,225.232,119.556,0
11.8,1.2,225.232,119.676,0
11.9,1.2,225.232,119.795,0
12,1.2,225.232,119.912,0
12.1,1.2,225.232,120.026,0
12.2,1.2,225.232,120.139,0
12.3,1.2,225.232,120.249,0
12.4,1.2,225.232,120.358,0
12.5,1.2,225.232,120.464,0
12.6,1.2,225.232,120.569,0
12.7,1.2,225.232,120.672,0
12.8,1.2,225.232,120.773,0
12.9,1.2,225.232,120.872,0
13,1.2,225.232,120.97,0
13.1,1.2,225.232,121.065,0
13.2,1.2,225.232,121.159,0
13.3,1.2,225.232,121.252,0
13.4,1.2,225.232,121.343,0
13.5,1.2,225.232,121.432,0
13.6,1.2,225.232,121.519,0
13.7,1.2,225.232,121.605,0
13.8,1.2,225.232,121.69,0
13.9,1.2,225.232,121.772,0
14,1.2,225.232,121.854,0
14.1,1.2,225.232,121.934,0
14.2,1.2,225.232,122.013,0
14.3,1.2,225.232,122.09,0
14.4,1.2,225.232,122.166,0
14.5,1.2,225.232,122.24,0
14.6,1.2,225.232,122.313,0
14.7,1.2,225.232,122.385,0
14.8,1.2,225.232,122.456,0
14.9,1.2,225.232,122.525,0
15,1.2,225.232,122.593,0
15.1,1.2,225.232,122.66,0
15.2,1.2,225.232,122.725,0
15.3,1.2,225.232,122.79,0
15.4,1.2,225.232,122.853,0
15.5,1.2,225.232,122.916,0
15.6,1.2,225.232,122.977,0
15.7,1.2,225.232,123.037,0
15.8,1.2,225.232,123.096,0
15.9,1.2,225.232,123.154,0
16,1.2,225.232,123.211,0
16.1,1.2,225.232,123.266,0
16.2,1.2,225.232,123.321,0
16.3,1.2,225.232,123.375,0
16.4,1.2,225.232,123.428,0
16.5,1.2,225.232,123.48,0
16.6,1.2,225.232,123.531,0
16.7,1.2,225.232,123.582,0
16.8,1.2,225.232,123.631,0
16.9,1.2,225.232,123.679,0
17,1.2,225.232,123.727,0
17.1,1.2,225.232,123.774,0
17.2,1.2,225.232,123.819,0
17.3,1.2,225.232,123.864,0
17.4,1.2,225.232,123.909,0
17.5,1.2,225.232,123.952,0
17.6,1.2,225.232,123.995,0
17.7,1.2,225.232,124.037,0
17.8,1.2,225.232,124.078,0
17.9,1.2,225.232,124.119,0
18,1.2,225.232,124.158,0
18.1,1.2,225.232,124.197,0
18.2,1.2,225.232,124.236,0
18.3,1.2,225.232,124.273,0
18.4,1.2,225.232,124.31,0
18.5,1.2,225.232,124.347,0
18.6,1.2,225.232,124.382,0
18.7,1.2,225.232,124.417,0
18.8,1.2,225.232,124.452,0
18.9,1.2,225.232,124.486,0
19,1.2,225.232,124.519,0
19.1,1.2,225.232,124.552,0
19.2,1.2,225.232,124.584,0
19.3,1.2,225.232,124.615,0
19.4,1.2,225.232,124.646,0
19.5,1.2,225.232,124.676,0
19.6,1.2,225.232,124.706,0
19.7,1.2,225.232,124.735,0
19.8,1.2,225.232,124.764,0
19.9,1.2,225.232,124.793,0
20,1.2,225.232,124.82,0
20.1,1.2,225.232,124.848,0
20.2,1.2,225.232,124.874,0
20.3,1.2,225.232,124.901,0
20.4,1.2,225.232,124.927,0
20.5,1.2,225.232,124.952,0
20.6,1.2,225.232,124.977,0
20.7,1.2,225.232,125.001,0
20.8,1.2,225.232,125.025,0
20.9,1.2,225.232,125.049,0
21,1.2,225.232,125.072,0
21.1,1.2,225.232,125.095,0
21.2,1.2,225.232,125.117,0
21.3,1.2,225.232,125.139,0
21.4,1.2,225.232,125.161,0
21.5,1.2,225.232,125.182,0
21.6,1.2,225.232,125.203,0
21.7,1.2,225.232,125.224,0
21.8,1.2,225.232,125.244,0
21.9,1.2,225.232,125.263,0
22,1.2,225.232,125.283,0
22.1,1.2,225.232,125.302,0
22.2,1.2,225.232,125.321,0
22.3,1.2,225.232,125.339,0
22.4,1.2,225.232,125.357,0
22.5,1.2,225.232,125.375,0
22.6,1.2,225.232,125.392,0
22.7,1.2,225.232,125.409,0
22.8,1.2,225.232,125.426,0
22.9,1.2,225.232,125.443,0
23,1.2,225.232,125.459,0
23.1,1.2,225.232,125.475,0
23.2,1.2,225.232,125.49,0
23.3,1.2,225.232,125.506,0
23.4,1.2,225.232,125.521,0
23.5,1.2,225.232,125.536,0
23.6,1.2,225.232,125.55,0
23.7,1.2,225.232,125.564,0
23.8,1.2,225.232,125.578,0
23.9,1.2,225.232,125.592,0
24,1.2,225.232,125.606,0
24.1,1.2,225.232,125.619,0
24.2,1.2,225.232,125.632,0
24.3,1.2,225.232,125.645,0
24.4,1.2,225.232,125.658,0
24.5,1.2,225.232,125.67,0
24.6,1.2,225.232,125.682,0
24.7,1.2,225.232,125.694,0
24.8,1.2,225.232,125.706,0
24.9,1.2,225.232,125.717,0
25,1.2,225.232,125.729,0
25.1,1.2,225.232,125.74,0
25.2,1.2,225.232,125.751,0
25.3,1.2,225.232,125.761,0
25.4,1.2,225.232,125.772,0
25.5,1.2,225.232,125.782,0
25.6,1.2,225.232,125.793,0
25.7,1.2,225.232,125.803,0
25.8,1.2,225.232,125.812,0
25.9,1.2,225.232,125.822,0
26,1.2,225.232,125.831,0
26.1,1.2,225.232,125.841,0
26.2,1.2,225.232,125.85,0
26.3,1.2,225.232,125.859,0
26.4,1.2,225.232,125.868,0
26.5,1.2,225.232,125.876,0
26.6,1.2,225.232,125.885,0
26.7,1.2,225.232,125.893,0
26.8,1.2,225.232,125.901,0
26.9,1.2,225.232,125.909,0
27,1.2,225.232,125.917,0
27.1,1.2,225.232,125.925,0
27.2,1.2,225.232,125.933,0
27.3,1.2,225.232,125.94,0
27.4,1.2,225.232,125.948,0
27.5,1.2,225.232,125.955,0
27.6,1.2,225.232,125.962,0
27.7,1.2,225.232,125.969,0
27.8,1.2,225.232,125.976,0
27.9,1.2,225.232,125.982,0
28,1.2,225.232,125.989,0
28.1,1.2,225.232,125.996,0
28.2,1.2,225.232,126.002,0
28.3,1.2,225.232,126.008,0
28.4,1.2,225.232,126.014,0
28.5,1.2,225.232,126.02,0
28.6,1.2,225.232,126.026,0
28.7,1.2,225.232,126.032,0
28.8,1.2,225.232,126.038,0
28.9,1.2,225.232,126.044,0
29,1.2,225.232,126.049,0
29.1,1.2,225.232,126.054,0
29.2,1.2,225.232,126.06,0
29.3,1.2,225.232,126.065,0
29.4,1.2,225.232,126.07,0
29.5,1.2,225.232,126.075,0
29.6,1.2,225.232,126.08,0
29.7,1.2,225.232,126.085,0
29.8,1.2,225.232,126.09,0
29.9,1.2,225.232,126.095,0
30,1.2,225.232,126.099,0
30.1,1.2,225.232,126.104,0
30.2,1.2,225.232,126.108,0
30.3,1.2,225.232,126.113,0
30.4,1.2,225.232,126.117,0
30.5,1.2,225.232,126.121,0
30.6,1.2,225.232,126.125,0
30.7,1.2,225.232,126.129,0
30.8,1.2,225.232,126.133,0
30.9,1.2,225.232,126.137,0
31,1.2,225.232,126.141,0
31.1,1.2,225.232,126.145,0
31.2,1.2,225.232,126.149,0
31.3,1.2,225.232,126.152,0
31.4,1.2,225.232,126.156,0
31.5,1.2,225.232,126.159,0
31.6,1.2,225.232,126.163,0
31.7,1.2,225.232,126.166,0
31.8,1.2,225.232,126.17,0
31.9,1.2,225.232,126.173,0
32,1.2,225.232,126.176,0
32.1,1.2,225.232,126.179,0
32.2,1.2,225.232,126.182,0
32.3,1.2,225.232,126.185,0
32.4,1.2,225.232,126.188,0
32.5,1.2,225.232,126.191,0
32.6,1.2,225.232,126.194,0
32.7,1.2,225.232,126.197,0
32.8,1.2,225.232,126.2,0
32.9,1.2,225.232,126.203,0
33,1.2,225.232,126.205,0
33.1,1.2,225.232,126.208,0
33.2,1.2,225.232,126.211,0
33.3,1.2,225.232,126.213,0
33.4,1.2,225.232,126.216,0
33.5,1.2,225.232,126.218,0
33.6,1.2,225.232,126.221,0
33.7,1.2,225.232,126.223,0
33.8,1.2,225.232,126.225,0
33.9,1.2,225.232,126.228,0
34,1.2,225.232,126.23,0
34.1,1.2,225.232,126.232,0
34.2,1.2,225.232,126.234,0
34.3,1.2,225.232,126.236,0
34.4,1.2,225.232,126.238,0
34.5,1.2,225.232,126.241,0
34.6,1.2,225.232,126.243,0
34.7,1.2,225.232,126.245,0
34.8,1.2,225.232,126.246,0
34.9,1.2,225.232,126.248,0
35,1.2,225.232,126.25,0
35.1,1.2,225.232,126.252,0
35.2,1.2,225.232,126.254,0
35.3,1.2,225.232,126.256,0
35.4,1.2,225.232,126.258,0
35.5,1.2,225.232,126.259,0
35.6,1.2,225.232,126.261,0
35.7,1.2,225.232,126.263,0
35.8,1.2,225.232,126.264,0
35.9,1.2,225.232,126.266,0
