step,accumulated_reward,action
0,0.375017,0
5,8.20592,2
10,26.358,2
15,40.0741,2
20,49.9132,2
25,64.6239,2
30,74.6799,2
35,88.1654,2
40,99.8865,2
45,109.078,2
50,121.609,2
55,133.392,2
60,146.363,2
65,166.437,2
70,176.214,2
75,193.737,2
80,211.551,2
85,221.607,2
90,230.635,2
95,233.678,2
100,246.752,2
105,255.744,2
110,270.301,2
115,279.562,2
120,290.205,2
125,299.828,2
130,313.19,2
135,321.822,2
140,336.848,2
145,355.084,2
150,369.867,2
155,382.033,2
160,385.536,2
165,397.06,2
170,413.04,2
175,423.5,2
180,441.646,2
185,448.405,2
190,463.624,2
195,477.705,2
200,492.161,2
205,503.312,2
210,521.976,2
215,534.589,2
220,541.145,2
225,548.294,2
230,559.83,2
235,572.408,2
240,592.518,2
245,603.859,2
250,618.046,2
255,627.516,2
260,636.052,2
265,643.543,2
270,656.128,2
275,671.165,2
280,679.022,2
285,691.252,2
290,707.315,2
295,718.92,2
300,730.937,2
305,746.873,2
310,759.855,2
315,780.155,2
320,795.466,2
325,804.364,2
330,817.36,2
335,832.178,2
340,845.231,2
345,857.952,2
350,873.865,2
355,885.271,2
360,899.607,2
365,907.25,2
370,922.187,2
375,935.392,2
380,946.219,2
385,957.983,2
390,965.519,2
395,978.084,2
400,991.959,2
405,1000.8,2
410,1015.83,2
415,1030.96,2
420,1041.09,2
425,1053.24,2
430,1061.34,2
435,1073.08,2
440,1082.53,2
445,1098.66,2
450,1108.58,2
455,1121,2
460,1131.81,2
465,1139.22,2
470,1153.76,2
475,1167.9,2
480,1178.82,2
485,1191.41,2
490,1207.81,2
495,1217.91,2
500,1229.23,2
505,1243.7,2
510,1256.67,2
515,1270.02,2
520,1282.11,2
525,1293.81,2
530,1308.52,2
535,1324.38,2
540,1339.06,2
545,1351.22,2
550,1365.63,2
555,1382.01,2
560,1395.56,2
565,1404.91,2
570,1415.52,2
575,1430.9,2
580,1440.07,2
585,1451.02,2
590,1465.74,2
595,1477.25,2
600,1487.1,2
605,1502.56,2
610,1511.82,2
615,1529.04,2
620,1543.65,2
625,1556.12,2
630,1568.16,2
635,1584.4,2
640,1592.44,2
645,1603.66,2
650,1612.92,2
655,1618.24,2
660,1629.15,2
665,1642.6,2
670,1655.36,2
675,1665.21,2
680,1677.06,2
685,1686.82,2
690,1705.26,2
695,1713.56,2
700,1730.03,2
705,1746.78,2
710,1762.17,2
715,1778.65,2
720,1787.38,2
725,1798.13,2
730,1805.4,2
735,1814.25,2
740,1823.37,2
745,1836.7,2
750,1843.29,2
755,1854.28,2
760,1868.28,2
765,1881.33,2
770,1895.09,2
775,1908.86,2
780,1920.76,2
785,1929.72,2
790,1948.4,2
795,1962.54,2
800,1969.06,2
805,1980.84,2
810,1987.4,2
815,1998.86,2
820,2013.37,2
825,2025,2
830,2032.76,2
835,2048.61,2
840,2059.73,2
845,2074.61,2
850,2092.91,2
855,2104.8,2
860,2110.09,2
865,2123.92,2
870,2134.59,2
875,2144.12,2
880,2156.39,2
885,2165.11,2
890,2179.59,2
895,2192.08,2
900,2205.04,2
905,2211.29,2
910,2219.14,2
915,2232.98,2
920,2241.33,2
925,2254.08,2
930,2263.68,2
935,2278.28,2
940,2289.59,2
945,2303.86,2
950,2315.39,2
955,2334.49,2
960,2343.3,2
965,2360.71,2
970,2376.07,2
975,2392.95,2
980,2406.82,2
985,2413.51,2
990,2423.53,2
995,2435.54,2
