step,greedy_reward,epsilon_sample_reward,constant_alpha_reward,greedy_inst,epsilon_inst,alpha_inst
0,0.263306,0.263306,0.263306,0.263306,0.263306,0.263306
10,17.4509,16.0573,16.2071,2.19856,1.82189,1.83229
20,39.7268,37.8685,37.8605,2.33167,1.78388,1.74756
30,61.8055,59.9672,59.2352,1.93596,1.73175,1.63455
40,84.5664,82.8349,81.2518,2.21408,2.44305,2.32522
50,106.99,105.287,102.592,2.50416,2.11091,1.99965
60,129.316,127.307,123.46,2.06214,2.65799,2.3685
70,150.875,150.113,144.969,2.04429,2.28795,2.16311
80,171.391,173.328,166.83,2.07752,2.63798,2.51253
90,192.125,195.898,188.53,2.19641,1.97917,1.97141
100,212.577,218.17,210.514,2.32944,2.29807,2.28508
110,232.727,240.909,232.947,1.79646,2.79584,2.76925
120,252.458,264.943,256.591,1.98357,2.04658,2.02148
130,270.906,286.844,278.38,2.31575,2.69423,2.71635
140,289.253,309.358,300.901,2.03238,2.03983,2.07283
150,308.62,332.695,324.238,2.09754,2.53965,2.56309
160,327.85,355.359,346.889,1.87024,2.16381,2.14773
170,346.61,378.187,370.122,2.06498,2.24457,2.29081
180,363.626,401.266,393.745,1.78356,2.05513,2.10732
190,381.026,424.226,417.206,1.79724,2.12629,2.16145
200,398.383,448.365,441.721,1.84018,2.07696,2.17802
210,416.715,472.231,465.709,2.05944,2.42797,2.36176
220,434.932,496.495,490.073,1.73127,2.65438,2.68569
230,452.906,520.806,514.778,1.66951,2.16219,2.25807
240,471.586,543.923,538.17,1.76024,2.29876,2.40396
250,491.215,569.138,563.564,1.98229,2.88349,2.93039
260,510.427,591.973,586.491,1.74367,2.16861,2.20464
270,531.461,616.404,611.049,1.86976,2.22162,2.2407
280,550.377,638.048,632.612,2.17477,2.63469,2.59011
290,570.275,661.009,655.524,1.75168,2.32567,2.38275
300,591.347,683.164,678.274,1.97571,2.24601,2.27836
310,611.936,705.12,701.051,1.75378,2.52329,2.61825
320,631.937,727.32,724.167,2.19325,1.96044,2.12712
330,651.506,747.852,745.301,1.80242,1.9855,1.97439
340,671.908,767.944,766.829,2.29655,2.09055,2.19623
350,690.951,788.4,788.467,2.03102,2.14366,2.13802
360,711.498,810.151,810.884,2.00126,2.0737,2.1326
370,732.539,831,832.138,2.49707,2.08488,2.1487
380,753.395,852.575,854.507,2.10674,1.8251,1.9759
390,773.36,874.976,877.709,2.42081,1.89879,1.98372
400,794.286,896.697,899.865,2.15971,2.07216,2.06301
410,816.029,919.246,923.511,1.99228,2.32409,2.4737
420,838.227,942.106,948.056,2.14834,2.49955,2.60439
430,860.508,964.901,972.045,2.14377,1.75772,1.94451
440,883.27,989.976,998.314,1.91493,2.46643,2.61279
450,905.304,1014.91,1024.81,2.16216,1.92471,2.13851
460,927.478,1039.35,1050.62,2.22298,2.46733,2.60563
470,950.986,1065.77,1078.6,2.42163,2.45614,2.55018
480,974,1091.7,1105.78,2.09984,2.71329,2.85468
490,997.137,1118.26,1133.66,2.34662,2.9551,3.03065
500,1019.81,1143.74,1161.51,2.0235,2.38397,2.66282
510,1043.13,1167.02,1187.09,2.01445,2.12679,2.29623
520,1066.34,1192.33,1215.16,2.38621,2.43951,2.72764
530,1087.62,1217.72,1242.4,2.28704,2.48308,2.69261
540,1109.32,1244.03,1270.94,1.95347,2.62555,2.86957
550,1130.65,1268.79,1298.23,1.91672,2.7899,3.06227
560,1150.87,1294.34,1326.71,2.19046,2.79485,2.87488
570,1169.35,1322.76,1356.26,1.8169,2.75953,2.86454
580,1188.95,1349.69,1384.66,2.23654,3.01989,3.18636
590,1207.73,1377.71,1414.34,2.09181,2.77693,3.01553
600,1226.82,1406.06,1444.67,2.1678,3.10092,3.34651
610,1246.41,1434.13,1475.32,1.8544,2.69153,2.89783
620,1265.86,1461.47,1505.38,2.23241,2.93452,3.33245
630,1285.57,1489.17,1535.99,1.77148,2.57069,2.81181
640,1305.33,1518.91,1568.76,1.92356,2.80455,3.22662
650,1326.43,1547.21,1600.53,1.74161,3.05123,3.35454
660,1347.7,1573.98,1630.43,2.16277,2.64963,2.93724
670,1367.76,1601.42,1661.04,2.13536,2.17838,2.55198
680,1389.03,1626.81,1689.48,2.24562,2.72483,3.07175
690,1410.07,1654,1719.82,1.95627,2.69724,2.98549
700,1430.82,1681.93,1749.73,2.09609,2.80598,2.92395
710,1452.29,1711.09,1781.28,2.23961,3.1355,3.45789
720,1475.29,1739.18,1811.81,2.66008,3.05859,3.30993
730,1498.66,1767.65,1843.27,2.24954,2.95138,3.34901
740,1521.97,1796.76,1875.31,2.52647,2.68217,2.95
750,1544.37,1825.56,1906.55,2.51427,2.83681,3.06817
760,1567.71,1855.04,1938.76,2.31961,3.31769,3.58371
770,1590.93,1884.33,1970.14,2.21274,3.49075,3.66097
780,1615.05,1914.49,2002.03,2.49935,2.91476,3.19838
790,1637.98,1943.56,2033.37,2.10638,2.83072,3.06686
800,1661.47,1974.06,2066.22,2.28565,2.91491,3.33052
810,1687.1,2004.67,2099.06,2.48209,3.09099,3.30175
820,1714.32,2034.94,2131.27,2.58134,2.59499,2.83968
830,1741.26,2064.37,2162.92,2.8047,3.53327,3.77522
840,1769.24,2093.13,2194.17,2.70517,2.90837,3.15589
850,1797.99,2122.93,2226.16,2.95429,2.86002,2.96745
860,1827.13,2152.92,2258.29,3.38216,2.94322,3.06805
870,1855.62,2183.27,2291.56,2.65786,3.36211,3.61685
880,1883.02,2211.96,2323.53,2.70255,2.43759,2.79987
890,1911.13,2241.85,2356.88,3.11581,3.38207,3.73201
900,1938.5,2271,2389.06,2.64102,2.97625,3.32545
910,1966.32,2300.17,2421.34,2.80165,2.38637,2.70118
920,1992.96,2329.24,2454.06,2.73547,2.24287,2.69007
930,2021.2,2357.28,2485.41,3.01971,3.06171,3.34258
940,2048.76,2385.98,2517.24,2.299,2.80773,3.20322
950,2078.45,2414.77,2549.62,2.9475,2.65044,3.01916
960,2107.87,2443.85,2582.98,2.99797,2.81252,3.32319
970,2137.56,2470.07,2613.25,2.74224,3.04255,3.50753
980,2167.13,2497.4,2645.38,2.84711,2.71435,3.17047
990,2194.39,2525.66,2678.06,2.57519,2.96496,3.43099
1000,2222.33,2553.68,2711.66,2.82013,2.63526,3.46712
1010,2251.79,2576.11,2743.67,3.14995,2.36781,3.64165
1020,2282.24,2600.98,2778.78,2.74527,2.81129,3.90644
1030,2313.34,2626.39,2814.62,2.91723,2.69657,3.69629
1040,2344.96,2650.28,2848.89,3.0834,1.96482,2.95995
1050,2376.01,2674.52,2882.97,3.03279,2.04594,3.03268
1060,2407.39,2699.8,2918.25,3.1695,2.66382,3.4659
1070,2439.8,2725.55,2954.15,3.47326,2.23903,3.36949
1080,2472.02,2753.44,2992.32,3.26592,2.98145,3.91802
1090,2504.05,2778.56,3027.43,3.13568,2.76363,3.77867
1100,2536.18,2805.39,3062,3.15261,2.91169,3.71325
1110,2568.69,2835.2,3098.27,3.21441,3.17592,3.74334
1120,2600.96,2864.7,3134.22,3.16833,2.56958,3.39461
1130,2632.83,2895.53,3171.33,3.26094,2.98157,3.59267
1140,2665.71,2922.76,3205.97,3.28564,2.13442,2.87261
1150,2698.57,2953.48,3243.16,3.3547,3.22773,3.90941
1160,2730.86,2985.05,3281.43,3.18758,3.01328,3.60581
1170,2762.38,3016.69,3320.13,3.11478,3.44923,4.10676
1180,2795.88,3050.03,3360.45,3.35555,3.89213,4.5119
1190,2827.7,3082.86,3400,3.22187,3.07546,3.83175
1200,2859.67,3117.34,3441.13,3.39186,3.35755,4.03992
1210,2891.82,3147.98,3478.39,3.38667,3.34978,4.01991
1220,2923.42,3179.1,3516.11,3.04422,2.88392,3.32729
1230,2955.51,3211.02,3554.51,3.37634,3.14575,3.89488
1240,2988.5,3243.41,3593.04,3.16118,3.33676,4.08488
1250,3022.1,3276.39,3632.05,3.60172,3.50958,4.03853
1260,3054.35,3306.66,3667.66,3.11505,2.59134,3.17203
1270,3086.18,3338.18,3704.51,3.2181,3.62055,4.33764
1280,3119.59,3370.08,3742.79,3.64046,3.17252,3.85397
1290,3153.31,3400.78,3779.32,3.20601,2.96123,3.53647
1300,3186.02,3432.12,3817.05,3.28269,3.34737,4.0535
1310,3218.61,3464.36,3855.6,3.07276,3.15199,3.70211
1320,3250.36,3495.8,3892.99,3.09401,2.61521,3.10234
1330,3282.55,3526.21,3930.01,3.05648,2.61166,3.48039
1340,3315.46,3555.78,3967.66,3.44196,2.9637,3.7509
1350,3349.01,3587.26,4006.62,3.52582,2.56148,3.41168
1360,3382.71,3617.68,4043.66,3.29561,2.28628,2.9587
1370,3416.77,3647.99,4081.69,3.44608,2.44137,3.08731
1380,3451.95,3680.06,4120.1,3.6965,3.45988,4.06533
1390,3487.22,3710.2,4156.34,3.58604,2.75206,3.12635
1400,3521.39,3743.14,4195.04,3.53387,2.88188,3.50004
1410,3555.99,3776.05,4233.19,3.57823,3.41602,4.01136
1420,3590.45,3809.17,4271.58,3.2686,2.99011,3.47987
1430,3626.08,3841.91,4309.69,3.69092,3.56648,4.17674
1440,3660.98,3874.48,4347.39,3.68069,3.60764,3.97733
1450,3697.44,3905.45,4383.83,3.44877,3.17226,3.65953
1460,3734.68,3936.05,4419.61,4.14329,3.05399,3.60365
1470,3773.28,3969.52,4458.87,4.28666,3.50787,4.06605
1480,3812.02,4002.54,4497.89,3.33059,3.59925,4.31095
1490,3850.16,4034.91,4537.15,3.61345,3.30627,4.09214
1500,3888.44,4068.59,4577.88,3.71436,3.79244,4.44437
1510,3926.88,4101.87,4617.31,3.79773,3.54411,4.26113
1520,3965.52,4135.8,4658.09,3.63262,3.29916,3.94055
1530,4002.9,4168.27,4697.55,3.63,3.221,4.04899
1540,4040.72,4200.48,4737.2,3.72998,3.50462,4.09015
1550,4078.85,4233.3,4777.03,3.91278,3.05186,3.60611
1560,4116.18,4265.03,4815.79,3.91939,3.33764,3.96074
1570,4153.67,4296.21,4853.32,3.52916,2.96279,3.58026
1580,4191.53,4328.57,4892.47,3.47622,3.91684,4.54085
1590,4229.32,4360.03,4929.95,3.97702,3.31846,3.82475
1600,4267.26,4393.45,4969.54,4.03933,3.05749,3.63172
1610,4305.89,4425.3,5007.12,3.80047,3.58454,4.04435
1620,4344.14,4458.24,5046.31,4.03413,3.75885,4.38787
1630,4383.9,4490.54,5085.43,4.08115,2.98161,3.79632
1640,4422.33,4522.4,5124.59,3.75872,3.06385,3.88053
1650,4459.76,4554.8,5164.67,3.87143,2.88557,3.73336
1660,4497.42,4585.01,5202.42,3.46932,2.74395,3.62964
1670,4535.41,4617.53,5242.84,3.79716,3.59652,4.37298
1680,4574.15,4648.08,5281.48,3.92018,3.34687,4.05424
1690,4612.38,4680.22,5321.48,4.01823,3.42782,4.19206
1700,4651.02,4712.61,5362.42,3.94566,3.1359,4.08714
1710,4689.35,4745.64,5404.13,3.81818,2.90376,3.79167
1720,4727.66,4780.72,5446.2,3.69903,3.64706,4.37549
1730,4765.98,4815.39,5488.09,3.99319,3.65908,4.40619
1740,4804.8,4851.31,5530.4,3.95739,3.3985,4.11208
1750,4843.79,4883.14,5569.23,4.09914,3.686,4.45019
1760,4883.62,4917.43,5610.26,3.56411,2.90047,3.65225
1770,4923.34,4951.15,5651.31,3.98467,2.65544,3.39446
1780,4961.99,4986.07,5693.38,3.87562,3.87603,4.52939
1790,5000.73,5020.54,5734.81,3.91658,3.95031,4.64818
1800,5039.05,5055.72,5777.02,3.98806,3.84867,4.56663
1810,5078.5,5089.35,5817.08,3.86151,3.02517,3.8599
1820,5115.82,5125.4,5860.25,3.96051,3.83207,4.62569
1830,5153.65,5159.87,5901.21,3.92304,3.7347,4.27292
1840,5192.03,5193.64,5942.97,3.85543,3.39997,4.1885
1850,5231.48,5226.29,5983,3.94497,3.81506,4.55914
1860,5270.09,5260.65,6025,3.59738,3.50367,4.31242
1870,5309.38,5295.06,6066.98,3.96448,3.2699,4.1183
1880,5348.62,5329.58,6109.48,3.79708,3.5335,4.18968
1890,5386.9,5364.98,6151.91,3.69287,3.08679,3.69796
1900,5426.13,5398.71,6192.32,3.82903,3.65558,4.26026
1910,5465.98,5433.53,6234.39,3.58619,3.30937,4.14422
1920,5506.17,5468.26,6276.79,3.82943,2.63002,3.42999
1930,5545.27,5503.05,6319.37,3.91344,3.25933,4.10268
1940,5584.98,5533.96,6358.36,4.06642,3.72357,4.41125
1950,5623.72,5568.97,6400.05,3.50122,3.39933,4.07107
1960,5663.49,5605.53,6442.74,3.97461,3.75763,4.28622
1970,5702.37,5641.44,6484.93,3.7904,3.96271,4.66077
1980,5742.48,5679.07,6528.34,3.9969,3.51729,4.17397
1990,5783.91,5714.96,6570.16,3.95555,3.85,4.41077
2000,5825.69,5750.79,6611.66,4.06322,3.25653,3.59116
2010,5866.68,5785.59,6654.16,4.00104,3.69266,4.52976
2020,5907.84,5820.72,6700.48,4.00076,3.41395,4.56779
2030,5947.35,5854.21,6745.85,4.19096,3.29609,4.55311
2040,5986.9,5887.87,6791.13,3.97079,2.94013,3.78511
2050,6024.74,5920.67,6835.67,4.04259,3.98806,4.9375
2060,6063.65,5951.39,6878.11,3.71899,2.97768,4.00716
2070,6101.99,5984.88,6924.26,4.2391,3.28129,4.53979
2080,6141.7,6017.59,6969.4,4.03874,2.98381,4.53212
2090,6180.77,6050.38,7014.42,3.9103,3.2548,4.50526
2100,6219.73,6081.74,7056.87,3.71834,3.11635,4.12607
2110,6258.37,6115.97,7101.82,3.67467,3.52752,4.82379
2120,6298.3,6149.23,7146.67,3.82914,3.65741,4.81057
2130,6338.06,6180.14,7190.05,4.10709,3.67634,5.0014
2140,6378.6,6212.38,7234.74,4.07088,2.9976,4.29945
2150,6417.92,6244.58,7278.51,3.90293,2.65238,3.8857
2160,6456.65,6277.17,7323.76,3.80455,3.26869,4.21247
2170,6494.57,6308.87,7368.18,3.55421,2.72198,3.82075
2180,6532.28,6340.05,7411.45,3.64328,3.27894,4.67464
2190,6570.95,6372.01,7454.92,3.50003,2.68269,3.79929
2200,6610.61,6404.72,7499,3.99154,3.82823,5.08154
2210,6649.27,6437.06,7543.17,3.97504,3.57644,4.58224
2220,6687.65,6469.35,7588.62,3.66163,3.20908,4.54132
2230,6726.68,6501.87,7633.1,3.87979,3.06058,4.00688
2240,6766.19,6535.96,7678.7,4.01026,3.59324,4.37679
2250,6806.08,6569.33,7724.01,3.90993,2.95082,4.10553
2260,6845.18,6603.83,7770.49,4.05356,3.99217,5.26169
2270,6883.88,6635.75,7814.44,3.93591,3.26479,4.42837
2280,6925.5,6668.97,7859.83,4.15679,2.95581,4.13712
2290,6967.54,6702.42,7905.15,4.22808,2.92728,3.88954
2300,7007.71,6736.54,7949.23,4.21247,3.62853,4.72866
2310,7048.3,6772.68,7996.37,4.0983,4.1472,5.28668
2320,7087.83,6807.29,8043.17,4.37932,3.44843,4.4207
2330,7127.98,6844.69,8092.81,3.89456,3.99945,5.35321
2340,7169.28,6880.92,8140.13,4.00985,3.87085,4.8283
2350,7211.62,6918.03,8187.32,4.43691,3.67262,4.79432
2360,7252.3,6954.83,8233.8,4.21361,3.94952,4.98359
2370,7293.61,6989.72,8278.07,4.34484,3.37043,4.40192
2380,7334.55,7024.45,8322.21,4.07693,3.6436,4.80307
2390,7374.02,7060.21,8368.1,4.08335,3.85526,4.82209
2400,7414.91,7096.38,8414.4,4.01204,4.04025,5.1064
2410,7454.77,7129.79,8458.68,3.73778,3.07504,4.33213
2420,7495.21,7165.1,8504.9,4.15001,3.57703,4.41827
2430,7536.62,7199.37,8549.22,4.15868,2.63772,3.65798
2440,7577.7,7235.29,8595.89,4.11513,4.04781,4.96077
2450,7617.19,7270.99,8641.64,4.01184,3.45603,4.47448
2460,7657.65,7306.58,8687.49,3.88099,3.76732,4.75727
2470,7697.3,7341.42,8732.46,3.81158,3.83106,4.86975
2480,7737.44,7377.9,8779.68,4.0198,3.64081,4.63826
2490,7774.42,7413.59,8825.39,3.75679,3.49901,4.48553
2500,7810.99,7449.19,8871.76,3.25424,3.4616,4.60353
2510,7848.15,7485.36,8919.49,3.97038,3.91076,5.15969
2520,7885.82,7521.87,8968,3.67205,3.34214,4.667
2530,7923.01,7557.73,9015.98,3.57992,3.88196,5.01671
2540,7960.5,7592.26,9062.37,3.62774,4.03383,5.23431
2550,7997.67,7628.38,9111.19,3.74403,3.48012,4.77891
2560,8034.42,7665.11,9160.32,3.9723,4.09479,5.1614
2570,8073.53,7700.42,9207.84,3.56453,4.03371,5.23788
2580,8112.12,7733.8,9254.07,3.86532,3.6904,5.11529
2590,8151.07,7768.51,9301.55,3.66426,3.41743,4.6255
2600,8190.44,7803.93,9349.08,4.53818,4.05818,5.31232
2610,8229.34,7841.89,9397.13,3.60989,3.80629,4.72005
2620,8268.35,7878.91,9443.61,4.10026,4.02491,4.93215
2630,8307.85,7915.41,9489.01,4.08469,3.91893,4.69706
2640,8345.17,7953.71,9537.01,3.75524,4.17503,5.21813
2650,8383.99,7991.38,9583.19,4.21125,3.64469,4.46218
2660,8421.78,8031.12,9631.24,3.86376,3.87382,4.81974
2670,8461.82,8068.14,9677.25,4.00522,3.60075,4.44353
2680,8501.62,8104.63,9722.37,4.14083,3.54347,4.47116
2690,8541.21,8141.46,9768.96,4.03796,3.60441,4.63455
2700,8579.5,8180.45,9816.54,3.68943,3.49622,4.52314
2710,8616.8,8217.67,9863.35,3.58082,3.74298,4.86509
2720,8654.3,8255.01,9910.7,3.81132,3.61657,4.6207
2730,8691.21,8292.06,9957.1,3.76148,4.10397,4.84915
2740,8728.19,8328.18,10001.9,3.65625,3.5816,4.53874
2750,8764.84,8364.62,10047.8,3.96445,3.50471,4.44847
2760,8802.26,8398.98,10093.2,3.66686,3.35304,4.38509
2770,8838.66,8437.13,10141.6,3.68572,4.05168,5.1466
2780,8875.35,8474.2,10189.7,3.70407,4.22802,5.33784
2790,8911.82,8509.13,10236.2,3.49869,3.77622,4.9331
2800,8948.59,8545.01,10284.1,3.59942,3.08178,4.09272
2810,8984.64,8583.63,10334.4,3.99976,3.35719,4.63731
2820,9021.45,8622.48,10385.3,3.73889,3.93792,4.8826
2830,9057.46,8660.99,10435.7,3.84748,4.09136,5.29813
2840,9093.3,8697.72,10484.1,3.81309,4.07835,5.11293
2850,9130.09,8737.28,10534.4,3.29686,4.47296,5.463
2860,9167.33,8775.51,10581.9,3.87998,3.97723,5.12482
2870,9204.6,8814.45,10631,3.6795,4.3738,5.36711
2880,9241.82,8854.96,10681.1,3.454,3.58919,4.68461
2890,9280.6,8895.09,10731.5,4.31407,4.43031,5.50409
2900,9322.14,8935.39,10782.4,4.11757,3.87599,5.00384
2910,9365.25,8976.42,10834.5,4.24076,4.39503,5.38038
2920,9408.02,9016.85,10885.4,4.18848,4.34958,5.43694
2930,9450.56,9058.06,10936.8,4.23377,4.71536,5.9471
2940,9493.23,9098.95,10990.1,4.15483,4.16267,5.30054
2950,9536.52,9137.91,11041,4.08358,3.11347,4.09231
2960,9580.45,9176.35,11091.5,4.50005,4.16724,5.63228
2970,9621.84,9216.11,11142.8,4.23414,4.1802,5.50885
2980,9663.38,9256.16,11195.2,4.00696,3.90061,5.07166
2990,9704.96,9294.39,11245.8,4.05265,2.66232,3.94609
3000,9747.1,9336.32,11299.9,4.84864,5.13538,6.51596
3010,9794.85,9380.11,11356.9,4.8073,4.63826,5.98073
3020,9843.71,9419.68,11409.3,4.88181,4.65262,6.0024
3030,9893.91,9465.08,11467.7,5.06454,4.91554,6.31358
3040,9944.05,9508.75,11524.3,4.68854,4.59335,5.90531
3050,9994.61,9554.6,11582.6,5.02317,4.46037,5.48531
3060,10045.2,9599.99,11640.2,5.12171,4.8516,5.93075
3070,10094.8,9647.54,11699.5,5.14319,4.35118,5.60581
3080,10144.3,9695.16,11758.9,4.72445,4.87866,6.12182
3090,10193,9740.54,11816.2,5.09017,4.71136,5.8941
3100,10242.2,9787.1,11875,4.99698,3.96817,5.14966
3110,10290.9,9833.19,11934,4.76647,4.94237,6.24524
3120,10340.6,9880.38,11993.2,4.87143,5.27737,6.11955
3130,10389.7,9928.48,12052.2,5.04474,4.70615,5.58941
3140,10440.4,9975.63,12108.2,4.96797,3.81323,4.66283
3150,10491,10028.9,12170.9,5.05002,5.1704,6.06244
3160,10541.8,10079.2,12229.6,5.1632,5.2164,6.07893
3170,10593.3,10132.2,12291.2,5.14366,5.4734,6.22968
3180,10643.4,10183.5,12351.9,4.99689,4.89829,5.80389
3190,10693.8,10236.1,12413.1,5.0219,5.38112,6.41618
3200,10742.9,10286.2,12473.1,4.7513,3.92899,4.78918
3210,10792.2,10337.2,12534.1,4.68877,4.65088,5.62253
3220,10841.5,10387.6,12594.8,4.89896,5.58455,6.61833
3230,10890.2,10439.9,12657.2,5.10688,5.57123,6.68918
3240,10938.7,10490,12716.7,4.71469,5.28519,6.12461
3250,10987.1,10539.8,12776.8,5.0471,5.49023,6.4828
3260,11033.9,10591.6,12838.9,4.39111,5.14151,6.29715
3270,11080.2,10638.5,12896.4,4.72521,4.64466,5.74969
3280,11128.3,10688.2,12956.8,4.71922,4.40296,5.3434
3290,11175.6,10736.7,13016.3,4.82719,4.12585,5.18835
3300,11222.4,10784.9,13074.3,4.64212,5.21131,6.20716
3310,11269.5,10833.8,13133.3,4.5624,4.22691,5.17923
3320,11315.9,10884.9,13194.6,4.75465,4.93505,5.98601
3330,11363.3,10935,13255.1,4.9475,5.08684,6.23772
3340,11410.1,10984.5,13315.2,4.6121,4.42923,5.58264
3350,11457.1,11035.6,13376.5,4.79832,5.13496,6.3147
3360,11506,11085.5,13436.8,4.78109,4.81152,5.87084
3370,11555.7,11135.3,13495.9,4.78626,5.05813,5.82018
3380,11605.6,11187.3,13557.3,5.05738,5.7859,6.68786
3390,11656.1,11238.9,13616.4,5.05271,5.49089,6.32909
3400,11706.7,11291.2,13676.1,5.06456,5.26948,5.77752
3410,11758.1,11343.3,13737.1,5.24997,4.6832,5.62419
3420,11809.3,11395.3,13797,4.90915,4.93394,5.87537
3430,11861.2,11448,13857.5,5.30736,5.63161,6.33353
3440,11912.5,11501.4,13919.2,5.02962,5.81705,6.45472
3450,11962.7,11551.7,13976.7,4.88514,4.98328,5.72623
3460,12012.6,11605.3,14038.9,5.04633,5.91036,6.80102
3470,12064.3,11660.5,14102,5.12602,5.16804,6.10193
3480,12116.2,11710.5,14159.9,5.23828,5.63011,6.45253
3490,12168.4,11760.6,14219.4,5.13478,5.13785,6.12811
3500,12220.5,11813.3,14282,5.34256,5.77601,6.81797
3510,12271.8,11867.7,14345.9,5.11883,5.88271,6.82115
3520,12322.2,11920.6,14408,4.95921,5.19583,6.18302
3530,12371.8,11973.6,14470.7,5.06966,5.58381,6.56335
3540,12423.8,12027.3,14534.1,5.17105,5.65391,6.71175
3550,12475.2,12079.1,14595.4,5.35479,4.99314,5.78582
3560,12526.4,12132,14658.7,4.8373,5.45403,6.52442
3570,12577.6,12185.6,14721.3,5.15289,5.52404,6.3686
3580,12629.5,12235.1,14780.4,5.06821,4.32791,5.39504
